Log Start: [17:13:54]
Rule (54): «sanitari»«toilet»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (55): «temperatur»«indoor»
Rule (55): «temperatur»«indoor»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (56): «indoor»«temperatur»
Rule (56): «indoor»«temperatur»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (57): «temperatur»«heat»
Rule (57): «temperatur»«heat»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (58): «heat»«temperatur»
Rule (58): «heat»«temperatur»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (59): «temperatur»«energi_consumpt»
Rule (59): «temperatur»«energi_consumpt»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (60): «energi_consumpt»«temperatur»
Rule (60): «energi_consumpt»«temperatur»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (61): «temperatur»«hvac»
Rule (61): «temperatur»«hvac»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (62): «hvac»«temperatur»
Rule (62): «hvac»«temperatur»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (63): «temperatur»«cool»
Rule (63): «temperatur»«cool»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (64): «cool»«temperatur»
Rule (64): «cool»«temperatur»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (65): «temperatur»«climat»
Rule (65): «temperatur»«climat»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (66): «climat»«temperatur»
Rule (66): «climat»«temperatur»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (67): «recycl»«wast_manag»
Rule (67): «recycl»«wast_manag»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (68): «wast_manag»«recycl»
Rule (68): «wast_manag»«recycl»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (69): «recycl»«plan»
Rule (69): «recycl»«plan»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (70): «plan»«recycl»
Rule (70): «plan»«recycl»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (71): «offic»«offic_build»
Rule (71): «offic»«offic_build»«4.0000»«-0.3000»«4.0000»«0.9600»«0.1500»«0.2000»«0.8000»
Rule (72): «offic_build»«offic»
Rule (72): «offic_build»«offic»«8888.0000»«-0.2000»«4.0000»«1.0000»«0.1500»«0.2000»«1.0000»
Rule (73): «indoor»«heat»
Rule (73): «indoor»«heat»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
Rule (74): «heat»«indoor»
Rule (74): «heat»«indoor»«3.7500»«-0.3000»«3.2000»«0.9600»«0.1375»«0.2000»«0.8000»
